63 tensor(95738.3359, grad_fn=<MeanBackward0>)
64 tensor(95738.3359, grad_fn=<MeanBackward0>)
65 tensor(95738.3359, grad_fn=<MeanBackward0>)
66 tensor(95738.3359, grad_fn=<MeanBackward0>)
67 tensor(95738.3359, grad_fn=<MeanBackward0>)
68 tensor(95738.3359, grad_fn=<MeanBackward0>)
69 tensor(95738.3359, grad_fn=<MeanBackward0>)
70 tensor(95738.3359, grad_fn=<MeanBackward0>)
71 tensor(95738.3359, grad_fn=<MeanBackward0>)
72 tensor(95738.3359, grad_fn=<MeanBackward0>)
73 tensor(95738.3359, grad_fn=<MeanBackward0>)
74 tensor(95738.3359, grad_fn=<MeanBackward0>)
75 tensor(95738.3359, grad_fn=<MeanBackward0>)
76 tensor(95738.3359, grad_fn=<MeanBackward0>)
77 tensor(95738.3359, grad_fn=<MeanBackward0>)
78 tensor(95738.3359, grad_fn=<MeanBackward0>)
79 tensor(95738.3359, grad_fn=<MeanBackward0>)
80 tensor(95738.3359, grad_fn=<MeanBackward0>)
81 tensor(95738.3359, grad_fn=<MeanBackward0>)
82 tensor(95738.3359, grad_fn=<MeanBackward0>)
83 tensor(95738.3359, grad_fn=<MeanBackward0>)
84 tensor(95738.3359, grad_fn=<MeanBackward0>)
85 tensor(95738.3359, grad_fn=<MeanBackward0>)
86 tensor(95738.3359, grad_fn=<MeanBackward0>)
87 tensor(95738.3359, grad_fn=<MeanBackward0>)
88 tensor(95738.3359, grad_fn=<MeanBackward0>)
89 tensor(95738.3359, grad_fn=<MeanBackward0>)
90 tensor(95738.3359, grad_fn=<MeanBackward0>)
91 tensor(95738.3359, grad_fn=<MeanBackward0>)
92 tensor(95738.3359, grad_fn=<MeanBackward0>)
93 tensor(95738.3359, grad_fn=<MeanBackward0>)
94 tensor(95738.3359, grad_fn=<MeanBackward0>)
95 tensor(95738.3359, grad_fn=<MeanBackward0>)
96 tensor(95738.3359, grad_fn=<MeanBackward0>)
97 tensor(95738.3359, grad_fn=<MeanBackward0>)
98 tensor(95738.3359, grad_fn=<MeanBackward0>)
99 tensor(95738.3359, grad_fn=<MeanBackward0>)
0 tensor(343083.1875, grad_fn=<MeanBackward0>)
0 tensor(339930.9375, grad_fn=<MeanBackward0>)
1 tensor(299070.1875, grad_fn=<MeanBackward0>)
